initialization centroids,distortion,centroids,clusters
"[(2,3), (4,5), (1,5)]",328,"[(3,2), (6,5), (2,7)]","[[(1,2),(3,4),(2,3),(4,2),(3,1),(4,3),(2,1),(3,2),(4,1),(1,3),(6,1),(7,1),(5,3),(6,2),(1,4)], [(5,6),(7,8),(4,5),(8,9),(6,3),(9,2),(5,4),(6,7),(8,5),(9,6),(7,3),(4,6),(8,1),(6,4),(7,5),(9,4),(8,7),(9,8),(7,6),(5,8),(8,3),(6,9),(7,4),(9,1)], [(5,9),(3,7),(3,9),(4,9),(3,8),(1,5),(2,6),(1,8),(2,8),(2,9),(1,7),(2,5)]]"
"[(2,3), (4,5), (8,9)]",276,"[(2,2), (7,3), (4,7)]","[[(1,2),(2,3),(1,5),(3,1),(1,4),(2,1),(3,2),(4,1),(1,3),(3,4),(4,2),(4,3)], [(6,1),(6,3),(9,2),(5,4),(7,1),(7,3),(8,1),(6,4),(7,5),(9,4),(5,3),(6,2),(8,3),(7,4),(9,1),(8,5),(9,6),(7,6)], [(2,5),(4,5),(2,6),(4,6),(1,7),(5,6),(1,8),(3,7),(2,8),(2,9),(3,8),(6,7),(3,9),(4,9),(5,8),(7,8),(8,9),(5,9),(8,7),(9,8),(6,9)]]"
"[(2,3), (4,5), (2,6)]",281,"[(2,2), (7,4), (3,7)]","[[(1,2),(3,4),(2,3),(4,2),(3,1),(4,3),(1,4),(2,1),(3,2),(4,1),(1,3)], [(6,1),(7,8),(8,9),(6,3),(9,2),(5,4),(7,1),(8,5),(9,6),(7,3),(8,1),(6,4),(7,5),(9,4),(8,7),(5,3),(6,2),(9,8),(7,6),(8,3),(7,4),(9,1)], [(5,6),(6,7),(4,5),(5,9),(4,6),(5,8),(6,9),(1,5),(2,6),(1,8),(3,7),(2,8),(2,9),(3,9),(4,9),(1,7),(2,5),(3,8)]]"
"[(2,3), (4,5), (4,2)]",307,"[(1,3), (5,7), (6,2)]","[[(1,2),(3,4),(2,3),(1,5),(1,4),(2,1),(2,5),(1,3),(1,7),(3,2),(3,1),(2,6)], [(5,6),(7,8),(4,5),(8,9),(1,8),(3,7),(2,8),(6,7),(8,5),(9,6),(5,9),(4,6),(2,9),(3,9),(7,5),(4,9),(8,7),(9,8),(7,6),(5,8),(6,9),(3,8)], [(5,4),(6,4),(7,4),(9,4),(4,2),(6,3),(9,2),(7,1),(4,3),(7,3),(8,1),(5,3),(6,2),(4,1),(8,3),(9,1),(6,1)]]"
"[(2,3), (1,5), (8,9)]",289,"[(5,2), (2,6), (7,6)]","[[(1,2),(4,2),(6,3),(9,2),(5,4),(7,1),(3,1),(4,3),(7,3),(8,1),(6,4),(2,1),(5,3),(3,2),(6,2),(4,1),(8,3),(9,1),(6,1)], [(3,4),(2,3),(4,5),(1,3),(1,5),(2,6),(1,8),(3,7),(2,8),(1,4),(4,6),(2,9),(3,9),(1,7),(2,5),(3,8),(4,9)], [(7,4),(5,6),(7,8),(8,9),(6,7),(8,5),(9,6),(5,9),(7,5),(9,4),(8,7),(9,8),(7,6),(5,8),(6,9)]]"
"[(2,3), (1,5), (2,6)]",301,"[(6,2), (1,4), (5,7)]","[[(4,2),(6,3),(9,2),(5,4),(7,1),(3,1),(4,3),(7,3),(8,1),(6,4),(9,4),(5,3),(6,2),(4,1),(8,3),(7,4),(9,1),(6,1),(8,5)], [(2,1),(3,2),(1,2),(3,4),(2,3),(1,3),(1,5),(1,4),(2,5),(2,6),(1,7),(1,8)], [(7,5),(5,6),(7,8),(4,5),(8,9),(3,7),(2,8),(6,7),(9,6),(5,9),(4,6),(2,9),(3,9),(4,9),(8,7),(9,8),(7,6),(5,8),(6,9),(3,8)]]"
"[(2,3), (1,5), (4,2)]",291,"[(2,2), (3,7), (7,3)]","[[(1,2),(3,4),(2,3),(2,1),(1,3),(1,4),(4,2),(3,1),(4,3),(3,2),(4,1)], [(1,5),(2,5),(4,5),(5,6),(7,8),(8,9),(2,6),(1,8),(3,7),(2,8),(6,7),(5,9),(4,6),(2,9),(3,9),(4,9),(1,7),(5,8),(6,9),(3,8)], [(6,3),(9,2),(5,4),(7,1),(8,5),(9,6),(7,3),(8,1),(6,4),(7,5),(9,4),(8,7),(5,3),(6,2),(9,8),(7,6),(8,3),(7,4),(9,1),(6,1)]]"
"[(2,3), (8,9), (2,6)]",295,"[(4,2), (7,5), (2,7)]","[[(1,2),(3,4),(2,3),(4,2),(6,3),(5,4),(7,1),(3,1),(4,3),(8,1),(2,1),(5,3),(3,2),(6,2),(4,1),(1,3),(6,1)], [(9,1),(9,2),(7,3),(6,4),(8,3),(7,4),(7,8),(8,9),(6,7),(8,5),(9,6),(7,5),(9,4),(8,7),(9,8),(7,6),(6,9),(5,6)], [(5,8),(5,9),(1,4),(4,5),(1,5),(2,6),(1,8),(3,7),(2,8),(4,6),(2,9),(3,9),(4,9),(1,7),(2,5),(3,8)]]"
"[(2,3), (8,9), (4,2)]",300,"[(2,5), (6,7), (5,2)]","[[(1,2),(3,4),(2,3),(4,5),(1,5),(2,6),(1,8),(3,7),(2,8),(1,4),(4,6),(2,9),(1,7),(2,5),(3,8),(1,3)], [(7,8),(8,9),(6,7),(8,5),(9,6),(5,9),(3,9),(7,5),(9,4),(4,9),(8,7),(9,8),(7,6),(5,8),(6,9),(5,6)], [(2,1),(4,2),(6,3),(9,2),(5,4),(7,1),(3,1),(4,3),(7,3),(8,1),(6,4),(5,3),(3,2),(6,2),(4,1),(8,3),(7,4),(9,1),(6,1)]]"
"[(2,3), (2,6), (4,2)]",326,"[(1,2), (4,7), (6,2)]","[[(1,2),(3,4),(2,3),(1,4),(2,1),(1,3),(1,5),(3,1),(3,2)], [(5,6),(7,8),(4,5),(8,9),(2,6),(1,8),(3,7),(2,8),(6,7),(5,9),(4,6),(2,9),(3,9),(4,9),(8,7),(1,7),(9,8),(7,6),(2,5),(5,8),(6,9),(3,8)], [(4,2),(6,3),(9,2),(5,4),(7,1),(4,3),(8,5),(9,6),(7,3),(8,1),(6,4),(7,5),(9,4),(5,3),(6,2),(4,1),(8,3),(7,4),(9,1),(6,1)]]"
"[(7,8), (4,5), (1,5)]",309,"[(6,7), (5,2), (1,5)]","[[(7,8),(8,9),(6,7),(8,5),(9,6),(5,9),(3,9),(7,5),(4,9),(8,7),(9,8),(7,6),(5,8),(6,9),(5,6),(4,6),(3,8),(9,4),(4,5)], [(4,2),(6,3),(9,2),(5,4),(7,1),(3,1),(4,3),(7,3),(8,1),(6,4),(5,3),(3,2),(6,2),(4,1),(8,3),(7,4),(9,1),(6,1),(2,1)], [(3,4),(3,7),(1,2),(2,3),(1,5),(2,6),(1,8),(2,8),(1,4),(2,9),(1,7),(2,5),(1,3)]]"
"[(7,8), (4,5), (8,9)]",285,"[(3,7), (4,2), (7,5)]","[[(5,9),(3,9),(4,9),(5,8),(6,9),(5,6),(1,8),(3,7),(2,8),(4,6),(2,9),(1,7),(3,8),(4,5),(1,5),(2,6),(2,5),(1,4)], [(1,2),(3,4),(2,3),(4,2),(6,3),(5,4),(7,1),(3,1),(4,3),(8,1),(2,1),(5,3),(3,2),(6,2),(4,1),(1,3),(6,1)], [(6,7),(9,2),(7,3),(6,4),(9,1),(8,5),(7,5),(7,6),(7,4),(8,3),(7,8),(9,6),(9,4),(8,7),(8,9),(9,8)]]"
"[(7,8), (4,5), (2,6)]",292,"[(6,7), (5,2), (2,6)]","[[(7,8),(8,9),(6,7),(8,5),(9,6),(5,9),(7,5),(9,4),(4,9),(8,7),(9,8),(7,6),(5,8),(6,9),(5,6)], [(4,2),(6,3),(9,2),(5,4),(7,1),(3,1),(4,3),(7,3),(8,1),(6,4),(2,1),(5,3),(3,2),(6,2),(4,1),(8,3),(7,4),(9,1),(6,1),(1,2)], [(3,4),(2,3),(4,5),(4,6),(1,5),(2,6),(1,8),(3,7),(2,8),(1,4),(2,9),(3,9),(1,7),(2,5),(3,8),(1,3)]]"
"[(7,8), (4,5), (4,2)]",309,"[(6,7), (1,5), (5,2)]","[[(7,8),(8,9),(6,7),(8,5),(9,6),(5,9),(3,9),(7,5),(9,4),(4,9),(8,7),(9,8),(7,6),(5,8),(6,9),(5,6),(4,6),(3,8),(4,5)], [(3,4),(1,5),(2,6),(1,8),(3,7),(2,8),(1,4),(2,9),(1,7),(2,5),(1,2),(2,3),(1,3)], [(5,4),(6,4),(7,4),(4,2),(6,3),(9,2),(7,1),(3,1),(4,3),(7,3),(8,1),(2,1),(5,3),(3,2),(6,2),(4,1),(8,3),(9,1),(6,1)]]"
"[(7,8), (1,5), (8,9)]",301,"[(6,2), (1,4), (5,7)]","[[(6,3),(9,2),(7,1),(8,5),(7,3),(8,1),(6,4),(9,4),(8,3),(7,4),(9,1),(5,4),(5,3),(6,2),(6,1),(4,2),(4,3),(4,1),(3,1)], [(1,2),(3,4),(2,3),(1,5),(2,6),(1,8),(1,4),(2,1),(3,2),(1,7),(2,5),(1,3)], [(4,5),(7,5),(4,6),(3,7),(2,8),(5,6),(6,7),(3,9),(7,6),(2,9),(3,8),(7,8),(9,6),(5,9),(4,9),(8,7),(5,8),(6,9),(8,9),(9,8)]]"
"[(7,8), (1,5), (2,6)]",281,"[(7,4), (2,2), (3,7)]","[[(7,8),(8,9),(9,2),(7,1),(8,5),(9,6),(7,3),(8,1),(6,4),(7,5),(9,4),(8,7),(9,8),(7,6),(8,3),(7,4),(9,1),(6,1),(6,3),(5,4),(5,3),(6,2)], [(1,2),(2,3),(4,2),(3,1),(4,3),(1,4),(2,1),(3,2),(4,1),(1,3),(3,4)], [(6,7),(5,6),(6,9),(5,9),(4,9),(5,8),(1,5),(2,5),(4,5),(2,6),(1,8),(3,7),(2,8),(4,6),(2,9),(3,9),(1,7),(3,8)]]"
"[(7,8), (1,5), (4,2)]",309,"[(6,7), (1,5), (5,2)]","[[(5,6),(7,8),(8,9),(6,7),(8,5),(9,6),(5,9),(3,9),(7,5),(9,4),(4,9),(8,7),(9,8),(7,6),(5,8),(6,9),(4,6),(3,8),(4,5)], [(1,2),(3,4),(2,3),(1,5),(2,6),(1,8),(3,7),(2,8),(1,4),(2,9),(1,7),(2,5),(1,3)], [(4,2),(6,3),(9,2),(5,4),(7,1),(3,1),(4,3),(7,3),(8,1),(6,4),(2,1),(5,3),(3,2),(6,2),(4,1),(8,3),(7,4),(9,1),(6,1)]]"
"[(7,8), (8,9), (2,6)]",276,"[(7,3), (4,7), (2,2)]","[[(9,2),(7,1),(8,5),(7,3),(8,1),(6,4),(9,4),(8,3),(7,4),(9,1),(6,3),(6,2),(6,1),(5,4),(5,3),(9,6),(7,5),(7,6)], [(5,6),(6,7),(7,8),(5,9),(4,9),(8,7),(5,8),(6,9),(8,9),(9,8),(3,7),(2,8),(4,6),(2,9),(3,9),(3,8),(4,5),(1,8),(1,7),(2,6),(2,5)], [(4,1),(1,2),(3,4),(2,3),(1,5),(4,2),(3,1),(4,3),(1,4),(2,1),(3,2),(1,3)]]"
"[(7,8), (8,9), (4,2)]",281,"[(3,7), (7,4), (2,2)]","[[(5,6),(1,8),(3,7),(2,8),(5,9),(4,6),(2,9),(3,9),(4,9),(5,8),(6,9),(3,8),(4,5),(2,6),(1,7),(2,5),(1,5),(6,7)], [(7,5),(7,6),(7,4),(7,8),(8,5),(9,6),(9,4),(8,7),(8,9),(9,8),(9,2),(7,3),(6,4),(8,3),(9,1),(6,3),(5,4),(8,1),(7,1),(5,3),(6,2),(6,1)], [(1,4),(1,2),(3,4),(2,3),(4,2),(3,1),(4,3),(2,1),(3,2),(4,1),(1,3)]]"
"[(7,8), (2,6), (4,2)]",292,"[(6,7), (2,6), (5,2)]","[[(5,6),(7,8),(8,9),(6,7),(8,5),(9,6),(5,9),(7,5),(9,4),(4,9),(8,7),(9,8),(7,6),(5,8),(6,9)], [(3,4),(4,5),(1,5),(2,6),(1,8),(3,7),(2,8),(1,4),(4,6),(2,9),(3,9),(1,7),(2,5),(3,8),(1,3),(2,3)], [(1,2),(4,2),(6,3),(9,2),(5,4),(7,1),(3,1),(4,3),(7,3),(8,1),(6,4),(2,1),(5,3),(3,2),(6,2),(4,1),(8,3),(7,4),(9,1),(6,1)]]"
"[(4,5), (1,5), (8,9)]",309,"[(5,2), (1,5), (6,7)]","[[(4,2),(6,3),(9,2),(5,4),(7,1),(3,1),(4,3),(7,3),(8,1),(6,4),(5,3),(3,2),(6,2),(4,1),(8,3),(7,4),(9,1),(6,1),(2,1)], [(3,4),(3,7),(1,2),(2,3),(1,5),(2,6),(1,8),(2,8),(1,4),(2,9),(1,7),(2,5),(1,3)], [(4,5),(9,4),(5,6),(8,5),(4,6),(7,5),(3,8),(6,7),(3,9),(4,9),(7,6),(5,8),(7,8),(8,9),(9,6),(5,9),(8,7),(9,8),(6,9)]]"
"[(4,5), (1,5), (2,6)]",330,"[(6,4), (2,2), (2,7)]","[[(5,6),(7,8),(4,5),(8,9),(6,3),(9,2),(5,4),(7,1),(6,7),(4,3),(8,5),(9,6),(7,3),(8,1),(6,4),(7,5),(9,4),(8,7),(5,3),(6,2),(9,8),(7,6),(8,3),(7,4),(9,1),(6,1)], [(4,2),(4,1),(3,4),(3,1),(3,2),(1,2),(2,3),(1,4),(2,1),(1,3)], [(1,5),(5,9),(4,6),(5,8),(6,9),(2,5),(2,6),(1,8),(3,7),(2,8),(2,9),(3,9),(4,9),(1,7),(3,8)]]"
"[(4,5), (1,5), (4,2)]",339,"[(6,6), (1,5), (5,1)]","[[(5,6),(7,8),(4,5),(8,9),(5,4),(6,7),(8,5),(9,6),(5,9),(4,6),(6,4),(3,9),(7,5),(9,4),(4,9),(8,7),(9,8),(7,6),(5,8),(6,9),(3,8),(7,4),(8,3)], [(3,7),(3,4),(1,2),(2,3),(1,5),(2,6),(1,8),(2,8),(1,4),(2,9),(1,7),(2,5),(1,3)], [(4,2),(6,3),(9,2),(7,1),(3,1),(4,3),(7,3),(8,1),(2,1),(5,3),(3,2),(6,2),(4,1),(9,1),(6,1)]]"
"[(4,5), (8,9), (2,6)]",308,"[(5,2), (6,7), (1,6)]","[[(3,4),(2,3),(4,2),(6,3),(9,2),(5,4),(7,1),(3,1),(4,3),(7,3),(8,1),(6,4),(2,1),(5,3),(3,2),(6,2),(4,1),(8,3),(7,4),(9,1),(6,1),(1,2)], [(4,5),(7,5),(9,4),(5,6),(6,7),(8,5),(7,6),(5,8),(7,8),(8,9),(9,6),(5,9),(8,7),(9,8),(6,9),(4,9),(4,6),(3,9)], [(1,5),(2,6),(1,8),(3,7),(2,8),(1,4),(2,9),(1,7),(2,5),(3,8),(1,3)]]"
"[(4,5), (8,9), (4,2)]",319,"[(2,6), (6,6), (5,1)]","[[(3,4),(4,5),(1,5),(2,6),(1,8),(3,7),(2,8),(1,4),(4,6),(2,9),(3,9),(4,9),(1,7),(2,5),(3,8),(2,3),(1,3),(1,2)], [(5,6),(6,7),(8,5),(7,5),(9,4),(7,6),(5,8),(7,8),(8,9),(9,6),(5,9),(8,7),(9,8),(6,9),(6,4),(7,4),(8,3),(5,4)], [(4,2),(6,3),(9,2),(7,1),(3,1),(4,3),(7,3),(8,1),(2,1),(5,3),(3,2),(6,2),(4,1),(9,1),(6,1)]]"
"[(4,5), (2,6), (4,2)]",339,"[(6,6), (1,5), (5,1)]","[[(5,6),(7,8),(4,5),(8,9),(5,4),(6,7),(8,5),(9,6),(5,9),(4,6),(6,4),(7,5),(9,4),(8,7),(9,8),(7,6),(5,8),(6,9),(7,4),(4,9),(8,3),(3,9),(3,8)], [(3,4),(1,5),(2,6),(1,8),(3,7),(2,8),(1,4),(2,9),(1,7),(2,5),(1,3),(1,2),(2,3)], [(4,2),(6,3),(9,2),(7,1),(3,1),(4,3),(7,3),(8,1),(2,1),(5,3),(3,2),(6,2),(4,1),(9,1),(6,1)]]"
"[(1,5), (8,9), (2,6)]",281,"[(2,2), (7,4), (3,7)]","[[(1,2),(2,3),(4,2),(3,1),(1,4),(2,1),(3,2),(4,1),(1,3),(4,3),(3,4)], [(6,1),(7,8),(8,9),(9,2),(8,5),(9,6),(7,5),(9,4),(8,7),(9,8),(7,6),(8,3),(7,4),(9,1),(6,3),(7,1),(7,3),(8,1),(6,4),(6,2),(5,4),(5,3)], [(6,7),(6,9),(1,5),(2,5),(5,9),(5,8),(5,6),(4,5),(2,6),(1,8),(3,7),(2,8),(4,6),(2,9),(3,9),(4,9),(1,7),(3,8)]]"
"[(1,5), (8,9), (4,2)]",300,"[(2,5), (6,7), (5,2)]","[[(1,2),(3,4),(2,3),(4,5),(1,5),(2,6),(1,8),(3,7),(2,8),(1,4),(4,6),(2,9),(1,7),(2,5),(3,8),(1,3)], [(3,9),(5,6),(7,8),(8,9),(6,7),(8,5),(9,6),(5,9),(7,5),(9,4),(4,9),(8,7),(9,8),(7,6),(5,8),(6,9)], [(4,2),(6,3),(9,2),(5,4),(7,1),(3,1),(4,3),(7,3),(8,1),(6,4),(2,1),(5,3),(3,2),(6,2),(4,1),(8,3),(7,4),(9,1),(6,1)]]"
"[(1,5), (2,6), (4,2)]",318,"[(1,3), (4,7), (6,2)]","[[(1,2),(3,4),(2,3),(1,5),(1,4),(2,5),(1,3),(3,1),(2,1),(3,2)], [(5,6),(7,8),(4,5),(8,9),(2,6),(1,8),(3,7),(2,8),(6,7),(5,9),(4,6),(2,9),(3,9),(4,9),(8,7),(1,7),(9,8),(7,6),(5,8),(6,9),(3,8)], [(4,2),(6,3),(9,2),(5,4),(7,1),(4,3),(8,5),(9,6),(7,3),(8,1),(6,4),(7,5),(9,4),(5,3),(6,2),(4,1),(8,3),(7,4),(9,1),(6,1)]]"
"[(8,9), (2,6), (4,2)]",292,"[(6,7), (2,6), (5,2)]","[[(7,8),(8,9),(6,7),(8,5),(9,6),(5,9),(7,5),(9,4),(8,7),(9,8),(7,6),(5,8),(6,9),(5,6),(4,9)], [(3,4),(4,5),(1,5),(2,6),(1,8),(3,7),(2,8),(1,4),(4,6),(2,9),(3,9),(1,7),(2,5),(3,8),(1,3),(2,3)], [(1,2),(4,2),(6,3),(9,2),(5,4),(7,1),(3,1),(4,3),(7,3),(8,1),(6,4),(2,1),(5,3),(3,2),(6,2),(4,1),(8,3),(7,4),(9,1),(6,1)]]"
